Pagsanjan Falls
Vigan Heritage Village
Banaue Rice Terraces
Bangui windmills
Hundred islands
Lake Caliraya
Mount Mayon
Mount Pulag
Taal Lake
Villa Escudero
Bulusan Lake
Lake Pandin
Anguib Beach
Calaguas Beach
Rizal Park
Mines View Park
Mount Banahaw
Sierra Madre
Mount Isarog
Lion's Head
Mount Maculot
Taal Basilica
Isla ng Corregidor
Mount Samat
Aguinaldo Shrine
Subic Bay
Magat Dam
Chico River
Hidden Valley Springs
Mount Makiling
Manila Bay
Manila Cathedral
Fort Santiago
Mount Malindig
Bathala Cave
Mount Halcon
Puerto Galera
Mount Arayat
Arayat Church
Betis Church
Hinulugang Taktak
Hacienda Luisita
Callao Cave
Cagayan River
Malagonlong Bridge
Tayabas Basilica
Burnham Park
Kennon Road
The Mansion
Baguio Cathedral
